country,iso_code,year,energy_per_capita,energy_per_gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,low_carbon_share_energy,electricity_demand_per_capita
Algeria,DZA,2022,16145.337,1.232,99.772,0.228,0.0,0.296,30.908,68.568,0.228,1954.818
Argentina,ARG,2022,22049.938,1.171,86.146,12.01,1.845,1.497,38.553,46.095,13.854,3490.362
Australia,AUS,2022,63386.535,1.235,86.753,13.247,0.0,25.994,34.528,26.231,13.247,10416.402
Austria,AUT,2022,42122.105,0.957,64.866,35.134,0.0,7.704,36.042,21.121,35.134,8071.991
Azerbaijan,AZE,2022,20425.451,1.199,97.812,2.188,0.0,0.0,32.978,64.834,2.188,2533.193
Bangladesh,BGD,2022,3023.729,0.597,99.307,0.693,0.0,10.821,32.453,56.034,0.693,649.172
Belarus,BLR,2022,33086.91,1.727,95.055,1.147,3.797,3.589,30.566,60.901,4.945,3976.785
Belgium,BEL,2022,59651.605,1.418,73.922,10.436,15.642,4.655,48.151,21.116,26.078,7455.883
Brazil,BRA,2022,17744.193,1.171,51.359,47.66,0.981,4.464,38.123,8.772,48.641,3281.26
Bulgaria,BGR,2022,33606.043,1.658,70.186,12.026,17.787,31.937,26.36,11.889,29.814,5580.248
Canada,CAN,2022,102122.422,2.251,65.036,29.497,5.467,2.748,30.489,31.8,34.964,15789.544
Chile,CHL,2022,25750.754,1.123,73.921,26.079,0.0,13.338,45.954,14.629,26.079,4656.055
China,CHN,2022,31235.707,1.651,82.455,15.218,2.327,55.309,18.585,8.561,17.545,6199.752
Colombia,COL,2022,12123.15,0.845,71.616,28.384,0.0,8.005,43.225,20.386,28.384,1609.844
Croatia,HRV,2022,23846.066,0.911,74.947,25.053,0.0,5.14,42.837,26.97,25.053,4809.279
Cyprus,CYP,2022,23790.744,0.925,92.235,7.765,0.0,1.128,91.107,0.0,7.765,3950.8
Czechia,CZE,2022,42043.363,1.308,75.422,7.496,17.082,34.572,24.318,16.532,24.578,6577.211
Denmark,DNK,2022,32903.926,0.649,59.208,40.792,0.0,6.392,43.865,8.952,40.792,6186.789
Ecuador,ECU,2022,12495.487,1.272,71.574,28.426,0.0,0.365,68.757,2.452,28.426,1869.961
Egypt,EGY,2022,9857.579,0.76,94.313,5.687,0.0,1.107,38.437,54.769,5.687,1910.436
Estonia,EST,2022,46890.336,1.583,86.759,13.241,0.0,54.373,25.979,6.407,13.241,7369.862
Finland,FIN,2022,57499.422,1.416,45.3,34.897,19.803,10.582,31.325,3.393,54.7,15206.579
