country,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
Algeria,2.4773782503431265,0.6570560213209957,-0.22630478614233257,-1.259873965099634,-0.8110177796847856,-0.6784615316360132,0.3349718869516847,2.8816933037930183e-06,-6.404221996786427e-07,1.9099134385710454e-16
Argentina,0.9249636991620872,0.0528518079040746,0.2424297519954533,-0.9289422028318594,-0.599920864230207,-0.2569975728676786,0.14466182375212316,5.122095998680318e-05,-8.319804646959373e-06,-7.079338979584913e-17
Australia,0.32857617623976915,0.3302608037927244,-0.1754261007948747,1.1401939028543515,0.11179783503913023,-0.5353335493604549,-0.022228016677963265,1.6057701714246522e-06,-7.591975465446082e-08,2.33646547313804e-15
Austria,-1.5804566672849492,-0.32388337657856375,0.4877284239769762,0.011343432124853949,-0.9931555709245365,-0.4088497489367414,-0.25721227013744496,-1.0265958537150761e-05,2.9031504743907003e-05,-5.4403897094708283e-17
Azerbaijan,2.2246498389310694,0.6107313896841614,-0.0524699760252661,-1.1630234644010948,-0.7465714446959187,-0.646951135551,0.2818213633556003,2.580050674298066e-06,-1.102609569375519e-06,-1.7576255912592693e-16
Bangladesh,2.4291416624330284,-0.4379473437894756,-0.31780513542836825,-0.8149594648379724,-0.6659603279443932,-0.9634150881233658,0.3119401164444566,-5.492316546107585e-06,2.900620609498808e-05,1.0100291802484216e-16
Belarus,1.8121223305429492,1.0188234572868224,-0.5057184704940683,-1.0409607711419895,-0.2677917313176838,-0.19516299957703948,0.2384702315527071,-4.987319713838323e-05,7.2987872424177435e-06,3.208064827355228e-16
Belgium,-0.7260736239171115,0.010953955664183767,0.2133611634548967,-0.9143920259029621,1.5488397579378173,0.45435605676387086,-0.0975715967478635,-5.541478686923907e-06,-4.6631247313342954e-06,-5.756768419885768e-17
Brazil,-2.655047475150983,-1.179772290821768,0.48239330880880454,-0.45253266645652057,-1.6444138802057888,0.40022052786833046,-0.5442223265637964,-5.116540976174706e-06,-1.316960559784329e-07,-3.1598600226042636e-17
Bulgaria,-1.0538888413972916,-0.7224585772343193,-1.9158642405375619,-0.15043005558977193,1.2392670865780688,0.5475306566180237,-0.04007605815699754,-4.976071526425091e-05,-2.0976085583661296e-05,2.3857352881225666e-16
